ID,Title,Mean,Episodes,Rating,Popularity,Genres
52991,Sousou no Frieren,9.29,28,pg_13,121,"Adventure, Drama, Fantasy, Shounen"
57555,Chainsaw Man Movie: Reze-hen,9.18,1,r,957,"Action, Fantasy, Gore, Shounen, Urban Fantasy"
5114,Fullmetal Alchemist: Brotherhood,9.1,64,r,3,"Action, Adventure, Drama, Fantasy, Military, Shounen"
9253,Steins;Gate,9.07,24,pg_13,14,"Drama, Psychological, Sci-Fi, Suspense, Time Travel"
38524,Shingeki no Kyojin Season 3 Part 2,9.05,10,r,21,"Action, Drama, Gore, Military, Shounen, Survival, Suspense"
61517,Kingdom 6th Season,9.05,0,r,4844,"Action, Historical, Military, Seinen"
39486,Gintama: The Final,9.05,1,pg_13,1512,"Action, Comedy, Drama, Gag Humor, Historical, Parody, Samurai, Sci-Fi, Shounen"
28977,Gintama°,9.05,51,pg_13,347,"Action, Comedy, Gag Humor, Historical, Parody, Samurai, Sci-Fi, Shounen"
11061,Hunter x Hunter (2011),9.03,148,pg_13,8,"Action, Adventure, Fantasy, Shounen"
820,Ginga Eiyuu Densetsu,9.02,110,r,753,"Adult Cast, Drama, Military, Sci-Fi, Space"
9969,Gintama',9.02,51,pg_13,406,"Action, Comedy, Gag Humor, Historical, Parody, Samurai, Sci-Fi, Shounen"
15417,Gintama': Enchousen,9.02,13,pg_13,756,"Action, Comedy, Gag Humor, Historical, Parody, Samurai, Sci-Fi, Shounen"
60022,One Piece Fan Letter,9.02,1,pg_13,1883,"Action, Adventure, Fantasy, Shounen"
41467,Bleach: Sennen Kessen-hen,8.99,13,r,353,"Action, Adventure, Shounen, Supernatural"
34096,Gintama.,8.98,12,pg_13,786,"Action, Comedy, Gag Humor, Historical, Parody, Samurai, Sci-Fi, Shounen"
43608,Kaguya-sama wa Kokurasetai: Ultra Romantic,8.96,13,pg_13,165,"Comedy, Romance, School, Seinen"
42938,Fruits Basket: The Final,8.94,13,pg_13,448,"Drama, Romance, Shoujo, Supernatural"
4181,Clannad: After Story,8.93,24,pg_13,123,"Drama, Romance"
918,Gintama,8.93,201,pg_13,146,"Action, Comedy, Gag Humor, Historical, Parody, Samurai, Sci-Fi, Shounen"
28851,Koe no Katachi,8.93,1,pg_13,19,"Award Winning, Drama, Shounen"
58514,Kusuriya no Hitorigoto 2nd Season,8.91,24,pg_13,600,"Drama, Historical, Medical, Mystery"
2904,Code Geass: Hangyaku no Lelouch R2,8.91,25,r,47,"Award Winning, Drama, Mecha, Military, Sci-Fi, Super Power"
35180,3-gatsu no Lion 2nd Season,8.9,22,pg_13,598,"Childcare, Drama, Seinen, Strategy Game"
15335,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.89,1,pg_13,1058,"Action, Comedy, Gag Humor, Historical, Parody, Samurai, Sci-Fi, Shounen, Time Travel"
19,Monster,8.89,74,r+,119,"Adult Cast, Drama, Mystery, Psychological, Seinen, Suspense"
60098,Boku no Hero Academia: Final Season,8.88,11,pg_13,1338,"Action, School, Shounen, Super Power"
37491,Gintama. Shirogane no Tamashii-hen - Kouhan-sen,8.88,14,pg_13,1233,"Action, Comedy, Gag Humor, Historical, Parody, Samurai, Sci-Fi, Shounen"
